ID,Function,Function Description,Category ID,Category,Category Description,Subcategory ID,Subcategory Description,Implementation Example,In Scope? ,Owner,Stakeholder(s),Auditor,NIST 800-53 Control Ref,Test Procedure(s),Q1 Actual Score,Q1 Target Score,Q1 Observations,Q1 Observation Date,Q1 Testing Status,Q2 Actual Score,Q2 Target Score,Q2 Observations,Q2 Observation Date,Q2 Testing Status,Q3 Actual Score,Q3 Target Score,Q3 Observations,Q3 Observation Date,Q3 Testing Status,Q4 Actual Score,Q4 Target Score,Q4 Observations,Q4 Observation Date,Q4 Testing Status,Minimum Target,Action Plan,Artifact Name
DE.CM-03 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,"Ex3: Continuously monitor deception technology, including user accounts, for any usage",Yes,,,,"AC-02,AU-12,AU-13,CA-07,CM-10,CM-11",,6,5,Annual assessment complete - meets requirements,2024-03-15,Completed,4,5,Documentation under review,2024-06-15,Pending Review,5,5,Evidence reviewed and approved,2024-09-15,Completed,,,,,,5,,
DE.CM-06 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-06,External service provider activities and services are monitored to find potentially adverse events,"Ex2: Monitor activity from cloud-based services, internet service providers, and other service providers for deviations from expected behavior",No,,,,"CA-07,PS-07,SA-04,SA-09,SI-04",,,,,,,,,,,,,,,,,,,,,,5,,
DE.CM-09 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-09,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",Ex2: Monitor authentication attempts to identify attacks against credentials and unauthorized credential reuse,No,,,,"AC-04,AC-09,AU-12,CA-07,CM-03,CM-06,CM-10,CM-11,SC-34,SC-35,SI-04,SI-07",,,,,,,,,,,,,,,,,,,,,,5,,
DE.CM-09 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-09,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",Ex3: Monitor software configurations for deviations from security baselines,Yes,,,,"AC-04,AC-09,AU-12,CA-07,CM-03,CM-06,CM-10,CM-11,SC-34,SC-35,SI-04,SI-07",,2,5,Remediation in progress,2024-03-15,In Progress,,,,,,,,,,,,,,,,5,,
DE.CM-09 Ex4,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-09,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",Ex4: Monitor hardware and software for signs of tampering,Yes,,,,"AC-04,AC-09,AU-12,CA-07,CM-03,CM-06,CM-10,CM-11,SC-34,SC-35,SI-04,SI-07",,2,5,Remediation in progress,2024-03-15,In Progress,0,5,Budget constraints,2024-06-15,Blocked,3,5,Final review scheduled,2024-09-15,Pending Review,2,5,Implementation ongoing,2024-12-15,In Progress,5,,
DE.CM-09 Ex5,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-09,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events","Ex5: Use technologies with a presence on endpoints to detect cyber health issues (e.g., missing patches, malware infections, unauthorized software), and redirect the endpoints to a remediation environment before access is authorized",Yes,,,,"AC-04,AC-09,AU-12,CA-07,CM-03,CM-06,CM-10,CM-11,SC-34,SC-35,SI-04,SI-07",,4,5,Awaiting auditor review,2024-03-15,Pending Review,4,5,Documentation under review,2024-06-15,Pending Review,3,5,Final review scheduled,2024-09-15,Pending Review,5,5,Control validated and operating effectively,2024-12-15,Completed,5,,
GV.OC-02 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OC,Organizational Context (GV.OC),"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-02,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered","Ex2: Identify relevant external stakeholders and their cybersecurity-related expectations (e.g., privacy expectations of customers, business expectations of partnerships, compliance expectations of regulators, ethics expectations of society)",No,,,,"PM-09,PM-18,PM-30,SR-03,SR-05,SR-06,SR-08",,,,,,,,,,,,,,,,,,,,,,5,,
GV.OC-03 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OC,Organizational Context (GV.OC),"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-03,"Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed","Ex1: Determine a process to track and manage legal and regulatory requirements regarding protection of individuals' information (e.g., Health Insurance Portability and Accountability Act, California Consumer Privacy Act, General Data Protection Regulation)",Yes,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PM-28,PS-01,PT,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,2,5,Remediation in progress,2024-03-15,In Progress,5,5,Control operating as expected,2024-06-15,Completed,0,5,,2024-09-15,Not Started,,,,,,5,,
GV.OC-03 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OC,Organizational Context (GV.OC),"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-03,"Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed","Ex3: Align the organization's cybersecurity strategy with legal, regulatory, and contractual requirements",Yes,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PM-28,PS-01,PT,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,0,5,Pending vendor support,2024-03-15,Blocked,3,5,Documentation under review,2024-06-15,Pending Review,6,5,Evidence reviewed and approved,2024-09-15,Completed,3,5,Implementation ongoing,2024-12-15,In Progress,5,,
GV.OC-04 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OC,Organizational Context (GV.OC),"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",Ex1: Establish criteria for determining the criticality of capabilities and services as viewed by internal and external stakeholders,Yes,,,,"CP-02(08),PM-08,PM-11,PM-30(01),RA-09",,5,5,Annual assessment complete - meets requirements,2024-03-15,Completed,2,5,Testing in progress,2024-06-15,In Progress,,,,,,,,,,,5,,
GV.OC-04 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OC,Organizational Context (GV.OC),"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated","Ex2: Determine (e.g., from a business impact analysis) assets and business operations that are vital to achieving mission objectives and the potential impact of a loss (or partial loss) of such operations",Yes,,,,"CP-02(08),PM-08,PM-11,PM-30(01),RA-09",,0,5,,2024-03-15,Not Started,0,5,,2024-06-15,Not Started,,,,,,,,,,,5,,
GV.OC-05 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OC,Organizational Context (GV.OC),"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-05,"Outcomes, capabilities, and services that the organization depends on are understood and communicated","Ex1: Create an inventory of the organization's dependencies on external resources (e.g., facilities, cloud-based hosting providers) and their relationships to organizational assets and business functions",No,,,,"PM-11,PM-30,RA-07,SA-09,SR-05",,,,,,,,,,,,,,,,,,,,,,5,,
GV.OV-01 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OV,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-01,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,Ex1: Measure how well the risk management strategy and risk results have helped leaders make decisions and achieve organizational objectives,Yes,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PM-09,PM-18,PM-30,PM-31,PS-01,PT-01,RA-01,RA-07,SA-01,SC-01,SI-01,SR-01,SR-06",,6,5,Annual assessment complete - meets requirements,2024-03-15,Completed,,,,,,,,,,,0,5,Awaiting resource allocation,2024-12-15,Blocked,5,,
GV.OV-02 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OV,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,Ex2: Review the performance oversight of those in cybersecurity-related roles to determine whether policy changes are necessary,No,,,,"PM-09,PM-19,PM-30,PM-31,RA-07,SR-06",,,,,,,,,,,,,,,,,,,,,,5,,
GV.OV-02 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OV,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,Ex3: Review strategy in light of cybersecurity incidents,Yes,,,,"PM-09,PM-19,PM-30,PM-31,RA-07,SR-06",,2,5,Remediation in progress,2024-03-15,In Progress,0,5,,2024-06-15,Not Started,5,5,Evidence reviewed and approved,2024-09-15,Completed,,,,,,5,,
GV.OV-03 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OV,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-03,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,Ex1: Review key performance indicators (KPIs) to ensure that organization-wide policies and procedures achieve objectives,No,,,,"PM-04,PM-06,RA-07,SR-06",,,,,,,,,,,,,,,,,,,,,,5,,
GV.OV-03 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OV,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-03,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,Ex3: Collect and communicate metrics on cybersecurity risk management with senior leadership,Yes,,,,"PM-04,PM-06,RA-07,SR-06",,0,5,Pending vendor support,2024-03-15,Blocked,,,,,,3,5,Final review scheduled,2024-09-15,Pending Review,,,,,,5,,
GV.PO-01 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced","Ex1: Create, disseminate, and maintain an understandable, usable risk management policy with statements of management intent, expectations, and direction",Yes,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,6,5,Annual assessment complete - meets requirements,2024-03-15,Completed,5,5,Control operating as expected,2024-06-15,Completed,,,,,,5,5,Control validated and operating effectively,2024-12-15,Completed,5,,
GV.PO-01 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced","Ex2: Periodically review policy and supporting processes and procedures to ensure that they align with risk management strategy objectives and priorities, as well as the high-level direction of the cybersecurity policy",Yes,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,6,5,Annual assessment complete - meets requirements,2024-03-15,Completed,,,,,,,,,,,,,,,,5,,
GV.PO-01 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",Ex3: Require approval from senior management on policy,No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,,,,,,,,,,,,,,,,,,,,,5,,
GV.PO-01 Ex4,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",Ex4: Communicate cybersecurity risk management policy and supporting processes and procedures across the organization,Yes,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,6,5,Annual assessment complete - meets requirements,2024-03-15,Completed,5,5,Control operating as expected,2024-06-15,Completed,3,5,Final review scheduled,2024-09-15,Pending Review,,,,,,5,,
GV.PO-02 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-02,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission","Ex2: Provide a timeline for reviewing changes to the organization's risk environment (e.g., changes in risk or in the organization's mission objectives), and communicate recommended policy updates",Yes,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,5,5,Annual assessment complete - meets requirements,2024-03-15,Completed,0,5,,2024-06-15,Not Started,,,,,,,,,,,5,,
GV.PO-02 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-02,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission",Ex3: Update policy to reflect changes in legal and regulatory requirements,Yes,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,5,5,Annual assessment complete - meets requirements,2024-03-15,Completed,0,5,Budget constraints,2024-06-15,Blocked,,,,,,,,,,,5,,
