ID,Category,Function,Description,In Scope?,Owner,Stakeholders,Auditor,NIST 800-53 Control Ref,Test Procedures,Score,Target Score,Q1 Actual Score,Q1 Target Score,Q1 Observations,Q1 Observation Date,Q1 Testing Status,Q1 Examine,Q1 Interview,Q1 Test,Q2 Actual Score,Q2 Target Score,Q2 Observations,Q2 Observation Date,Q2 Testing Status,Q2 Examine,Q2 Interview,Q2 Test,Q3 Actual Score,Q3 Target Score,Q3 Observations,Q3 Observation Date,Q3 Testing Status,Q3 Examine,Q3 Interview,Q3 Test,Q4 Actual Score,Q4 Target Score,Q4 Observations,Q4 Observation Date,Q4 Testing Status,Q4 Examine,Q4 Interview,Q4 Test,Remediation Owner,Remediation Due Date,Minimum Target,Action Plan,Artifact Name
DE.CM-09,Continuous Monitoring (categories/Continuous%20Monitoring%2049cc6558ba5ec39fc9dba72f0c4795b6.csv),DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",Yes,tigan.wang <tigan.wang@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,"AC-04,AC-09,AU-12,CA-07,CM-03,CM-06,CM-10,CM-11,SC-34,SC-35,SI-04,SI-07","1. Inquiry: CISO, IT Ops, 2. Inspect system monitoring policy, 3. Observe SOC dashboards",3,5,2,5,O365 ATP monitors email/web traffic. Slack communications monitored for policy violations. Data leak detection capabilities being evaluated.,07-Feb,Complete,Yes,Yes,Yes,3,5,System monitoring policy documented and approved. O365 ATP tuned for Alma-specific threats. Collaboration service monitoring scope expanded.,03-May,Complete,Yes,Yes,Yes,3,5,,,Not Started,No,No,No,3,5,,,Not Started,No,No,No,tigan.wang <tigan.wang@almasecurity.com>,2026-09-30,5,Deploy data leak detection capabilities. Expand collaboration service monitoring to cover all sanctioned applications. Tune O365 ATP rules based on false positive analysis.,
GV.OC-01,Organizational Context (categories/Organizational%20Context%2065a2d778da17a625edcd642ec86d5de4.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),The organizational mission is understood and informs cybersecurity risk management,Yes,gerry <gerry@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,PM-11,"1. Inquiry: CEO, CISO
2. Inspect Website
3. Inspect quarterly Board agenda, slides and minutes
4. Inspect monthly management agenda, slides and minutes",6,5,5,5,"Mission ""Ensure businesses can continuously authenticate users using their whole selves"" documented and communicated organization-wide. Mission directly informs risk appetite and security investment decisions.",11-Jan,Complete,Yes,No,No,6,5,Mission-aligned risk management fully operational. Board receives quarterly security posture updates tied to mission objectives. Apple Passkey partnership risk assessment completed supporting G8 goal.,06-Apr,Complete,No,Yes,Yes,6,5,,02-Jun,In Progress,No,Yes,No,6,5,,,Not Started,No,No,No,,,5,,
GV.OC-02,Organizational Context (categories/Organizational%20Context%2065a2d778da17a625edcd642ec86d5de4.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered",Yes,gerry <gerry@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,"PM-09,PM-18,PM-30,SR-03,SR-05,SR-06,SR-08",,6.5,5,5,5,"The IT Manager explained that:
- Internal and external stakeholder mapping completed. 
- Customer expectations for biometric data security documented. 
Inspected executive presentations, minutes and Risk Committee charter. No exceptions noted. ",13-Jan,Complete,Yes,Yes,No,6.5,5,Stakeholder expectations integrated into security service catalog. Public trust rebuilding program (addressing 2022 events) showing measurable progress. Regular stakeholder feedback mechanisms operational.,08-Apr,Complete,No,Yes,Yes,6.5,5,,04-Jun,In Progress,No,Yes,No,6.5,5,,,Not Started,No,No,No,,,5,,
GV.OC-03,Organizational Context (categories/Organizational%20Context%2065a2d778da17a625edcd642ec86d5de4.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed",No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PM-28,PS-01,PT,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.OC-04,Organizational Context (categories/Organizational%20Context%2065a2d778da17a625edcd642ec86d5de4.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",No,,,,"CP-02(08),PM-08,PM-11,PM-30(01),RA-09",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.OC-05,Organizational Context (categories/Organizational%20Context%2065a2d778da17a625edcd642ec86d5de4.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Outcomes, capabilities, and services that the organization depends on are understood and communicated",No,,,,"PM-11,PM-30,RA-07,SA-09,SR-05",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.OV-01,Oversight (categories/Oversight%20da8ff49843bdb99b7341ff10b803bf48.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,Yes,gerry <gerry@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PM-09,PM-18,PM-30,PM-31,PS-01,PT-01,RA-01,RA-07,SA-01,SC-01,SI-01,SR-01,SR-06","1. Inquiry: CEO, CISO, 2. Inspect Board meeting minutes, 3. Inspect management meeting minutes",6.5,5,6,5,"Comprehensive KPI framework operational: TTD=9hrs (down from 81hrs), TTI=14hrs, TTR-CJC=8 days, TTR-C=12 days. Board reviews strategy outcomes quarterly. Risk strategies balanced against operational needs.",14-Jan,Complete,Yes,Yes,Yes,6.5,5,Strategy outcomes drive resource allocation. TTR-CJC now under 6 days (Mar 2024). Detection capability investments approved based on KPI trends. Innovation-enabling approach adopted.,09-Apr,Complete,Yes,Yes,No,6.5,5,,05-Jun,In Progress,No,Yes,No,6.5,5,,,Not Started,No,No,No,,,5,,
GV.OV-02,Oversight (categories/Oversight%20da8ff49843bdb99b7341ff10b803bf48.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,No,,,,"PM-09,PM-19,PM-30,PM-31,RA-07,SR-06",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.OV-03,Oversight (categories/Oversight%20da8ff49843bdb99b7341ff10b803bf48.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,No,,,,"PM-04,PM-06,RA-07,SR-06",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.PO-01,Policy (categories/Policy%2048e79404fc984ac0f4bf665d55943ef2.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.PO-02,Policy (categories/Policy%2048e79404fc984ac0f4bf665d55943ef2.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission",No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.RM-01,Risk Management Strategy (categories/Risk%20Management%20Strategy%20361ac372924df4a0946f041fee7464f6.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),Risk management objectives are established and agreed to by organizational stakeholders,Yes,gerry <gerry@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,"PM-09,RA-07,SR-02","1. Inquiry: CISO, 2. Inspect quarterly Board slides, 3. Inspect monthly management slides",6.5,5,6,5,"Measurable risk management objectives established with Board approval: TTD &lt;4min by Jan 2027, TTR-CJC &lt;16hrs by Aug 2027. Objectives aligned with company goals G1-G8.",15-Jan,Complete,Yes,Yes,No,6.5,5,Objectives tracked with automated dashboards. Significant progress: TTD reduced 89% from baseline. ASM vendor selected to address R2/R4 risks. Monthly management reviews of objective progress.,10-Apr,Complete,No,Yes,Yes,6.5,5,,06-Jun,In Progress,No,Yes,No,6.5,5,,,Not Started,No,No,No,,,5,,
GV.RM-02,Risk Management Strategy (categories/Risk%20Management%20Strategy%20361ac372924df4a0946f041fee7464f6.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Risk appetite and risk tolerance statements are established, communicated, and maintained",No,,,,PM-09,,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.RM-03,Risk Management Strategy (categories/Risk%20Management%20Strategy%20361ac372924df4a0946f041fee7464f6.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,No,,,,"PM-03,PM-09,PM-30,RA-07,SR-02",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.RM-04,Risk Management Strategy (categories/Risk%20Management%20Strategy%20361ac372924df4a0946f041fee7464f6.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),Strategic direction that describes appropriate risk response options is established and communicated,No,,,,"PM-09,PM-28,PM-30,SR-02",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.RM-05,Risk Management Strategy (categories/Risk%20Management%20Strategy%20361ac372924df4a0946f041fee7464f6.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties",No,,,,"PM-09,PM-30",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.RM-06,Risk Management Strategy (categories/Risk%20Management%20Strategy%20361ac372924df4a0946f041fee7464f6.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated",No,,,,"PM-09,PM-18,PM-28,PM-30,RA-03",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.RM-07,Risk Management Strategy (categories/Risk%20Management%20Strategy%20361ac372924df4a0946f041fee7464f6.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions",No,,,,"PM-09,PM-18,PM-28,PM-30,RA-03",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.RR-01,"Roles, Responsibilities, and Authorities (categories/Roles,%20Responsibilities,%20and%20Authorities%20ce7743083054c1676c1473a437b85229.csv)",GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving",Yes,gerry <gerry@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,"PM-02,PM-19,PM-23,PM-24,PM-29","1. Inquiry: CEO, CISO, 2. Inspect security governance charter, 3. Inspect coordination meeting minutes",6,5,5,5,Security governance charter approved. CISO reports directly to CEO with Board visibility. Authority reviews completed. Coordination protocols established despite staffing constraints.,16-Jan,Complete,Yes,Yes,Yes,6,5,Leadership accountability demonstrated through quarterly Board presentations. Hiring authority approved for 5 additional A-tier professionals (STS1). Cross-functional coordination meetings formalized.,11-Apr,Complete,Yes,Yes,No,6,5,,07-Jun,In Progress,No,Yes,No,6,5,,,Not Started,No,No,No,,,5,,
GV.RR-02,"Roles, Responsibilities, and Authorities (categories/Roles,%20Responsibilities,%20and%20Authorities%20ce7743083054c1676c1473a437b85229.csv)",GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced",Yes,gerry <gerry@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,"PM-02,PM-13,PM-19,PM-23,PM-24,PM-29","1. Inquiry: CISO, 2. Inspect cybersecurity policy, 3. Inspect RACI matrix",6,5,5,5,"RACI matrix completed and communicated. Security team roles clearly defined: Nadia Khan (D&R Lead), Chris Magann (VM Lead), Tigan Wang (VM). Risk management authorities documented in policy.",12-Jan,Complete,Yes,Yes,No,6,5,"Roles enforced through formal governance process. Team expanded per STS1 hiring strategy. Cross-functional coordination meetings established with IT, Legal, and Product teams.",07-Apr,Complete,Yes,Yes,No,6,5,,03-Jun,In Progress,No,Yes,No,6,5,,,Not Started,No,No,No,,,5,,
GV.RR-03,"Roles, Responsibilities, and Authorities (categories/Roles,%20Responsibilities,%20and%20Authorities%20ce7743083054c1676c1473a437b85229.csv)",GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies",No,,,,PM-03,,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.RR-04,"Roles, Responsibilities, and Authorities (categories/Roles,%20Responsibilities,%20and%20Authorities%20ce7743083054c1676c1473a437b85229.csv)",GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),Cybersecurity is included in human resources practices,No,,,,"PM-13,PS-01,PS-07,PS-09",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.SC-01,Cybersecurity Supply Chain Risk Management (categories/Cybersecurity%20Supply%20Chain%20Risk%20Management%20ad778272d847f2cd436d6d146af0bf96.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders",Yes,gerry <gerry@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,"PM-30,SR-02,SR-03",,6,5,5.5,5,"SCRM program established with documented strategy, objectives, and policies. Vendor management policy approved. ServiceNow assessment workflows deployed for critical vendors.",17-Jan,Complete,Yes,Yes,Yes,6,5,Program processes fully operational. Apple Passkey integration (G8) vendor requirements defined and enforced. Program performance metrics tracked. Feb 2025 audit scope finalized.,12-Apr,Complete,Yes,Yes,Yes,6,5,,08-Jun,In Progress,No,Yes,No,6,5,,,Not Started,No,No,No,,,5,,
GV.SC-02,Cybersecurity Supply Chain Risk Management (categories/Cybersecurity%20Supply%20Chain%20Risk%20Management%20ad778272d847f2cd436d6d146af0bf96.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally",Yes,gerry <gerry@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,"SR-02,SR-03,SR-05",,6,5,5.5,5,Supplier cybersecurity roles documented internally. RACI for third-party risk management completed. Procurement team trained on SCRM responsibilities.,18-Jan,Complete,Yes,Yes,No,6,5,Roles communicated externally to all critical suppliers via updated contracts. Procurement staff certified on SCRM. Supplier security requirements included in RFP templates.,13-Apr,Complete,Yes,Yes,No,6,5,,09-Jun,In Progress,No,Yes,No,6,5,,,Not Started,No,No,No,,,5,,
GV.SC-03,Cybersecurity Supply Chain Risk Management (categories/Cybersecurity%20Supply%20Chain%20Risk%20Management%20ad778272d847f2cd436d6d146af0bf96.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PM-09,PM-18,PM-30,PM-31,PS-01,PT-01,RA-01,RA-03,RA-07,SA-01,SC-01,SI-01,SR-01,SR-02,SR-03",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
GV.SC-04,Cybersecurity Supply Chain Risk Management (categories/Cybersecurity%20Supply%20Chain%20Risk%20Management%20ad778272d847f2cd436d6d146af0bf96.csv),GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),Suppliers are known and prioritized by criticality,Yes,gerry <gerry@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,"RA-09,SA-09,SR-06",,6.5,5,5,5,"The IT Manager explained that GRC verified that:
Supplier risk tiers documented in Third Party Risk Management Policy. No PO No Pay policy, and all suppliers paid were identified and ranked by data sensitivity, system access level, and mission importance.",10-Jan,Complete,Yes,Yes,No,6.5,5,Criticality framework operationalized with ServiceNow integration. Automated supplier risk scoring deployed. Quarterly reviews of supplier criticality ratings conducted with stakeholder sign-off.,05-Apr,Complete,Yes,Yes,Yes,6.5,5,,01-Jun,In Progress,No,Yes,No,6.5,5,,,Not Started,No,No,No,,,5,,Third Party Risk Management Policy
